Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Monte Santo do Tocantins (TO);-;431;-;...;-;-;-;-;242;-;-;280;-;-;-;...;-;-;-;-;...;750;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;907;-;-;-;-;-;990;-;-;-;-;-;-;-;7500;-;-;-;-;-;-;-;-
Palmeiras do Tocantins (TO);-;45;-;...;-;-;-;-;154;-;-;160;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;2720;-;108;-;630;-;308;-;-;-;-;-;-;-;900;-;-;-;-;-;-;-;-
Muricilândia (TO);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;125;-;-;-;-;-;636;-;-;-;-;-;-;-;2016;-;-;-;-;-;-;-;-
Natividade (TO);-;-;-;...;-;-;-;-;105;-;-;132;-;-;-;...;-;-;-;-;...;512;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;777;-;-;-;75;-;3840;-;-;-;-;-;-;-;9600;-;-;-;-;-;-;-;-
Nazaré (TO);-;-;-;...;-;-;-;-;24;-;-;36;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;65;-;-;-;-;-;-;3600;-;-;-;166;-;163;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Nova Olinda (TO);-;-;-;...;-;-;-;-;27;-;-;7;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;30;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;4;-;2000;-;131;-;12;-;288;-;-;-;-;-;-;-;1036;23;-;-;-;-;-;-;-
Nova Rosalândia (TO);-;55;-;...;-;-;-;-;34;-;-;49;-;-;-;...;-;-;-;-;...;167;...;-;-;-;-;-;-;-;-;-;-;-;250;-;-;-;-;-;-;-;-;-;-;-;-;-;370;-;-;-;300;-;6318;-;-;-;-;-;-;-;22500;-;-;-;-;-;-;-;-
Novo Acordo (TO);-;-;-;...;-;-;-;-;533;-;-;252;-;-;-;...;-;-;-;-;...;240;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;573;-;-;-;-;-;3178;-;-;-;-;-;-;-;16023;-;-;-;-;-;-;-;-
Novo Alegre (TO);-;-;-;...;-;-;-;-;105;-;-;51;-;-;-;...;-;-;-;-;...;318;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;697;-;-;-;-;-;210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Novo Jardim (TO);-;-;-;...;-;-;-;-;60;-;-;49;-;-;-;...;-;-;-;-;...;780;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;759;-;-;-;-;-;357;-;-;-;-;-;-;-;576;-;-;-;-;-;-;-;-
Oliveira de Fátima (TO);-;-;-;...;-;-;-;-;69;-;-;8;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;67;-;-;-;-;-;200;-;-;-;-;-;-;-;5112;107;-;-;-;-;-;-;-
Palmeirante (TO);-;24;-;...;-;-;-;-;22;-;-;52;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;1174;-;-;-;117;-;2799;-;-;-;-;-;-;-;30059;-;-;-;-;-;-;-;-
Palmeirópolis (TO);-;-;-;...;-;-;-;-;80;-;-;84;-;-;2400;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1210;-;-;-;-;-;2145;-;-;-;-;-;-;-;11000;-;-;-;-;-;-;-;-
Paraíso do Tocantins (TO);-;127;-;...;-;-;-;-;218;-;-;92;-;-;-;...;-;-;-;-;...;300;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2203;-;-;-;110;-;7268;-;-;-;-;-;-;-;3800;447;-;-;-;-;-;-;-
Paranã (TO);-;-;-;...;-;-;-;-;107;-;-;173;-;-;-;...;-;-;-;-;...;945;...;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;1808;318;-;-;30;-;540;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pau D'Arco (TO);-;3600;-;...;-;-;-;-;2;-;-;21;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;400;-;-;-;14;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pedro Afonso (TO);-;2310;-;...;-;-;-;-;96;-;-;175;-;-;-;...;-;-;-;-;...;2200000;...;-;-;-;-;-;-;-;-;-;-;-;720;-;-;-;-;-;-;-;-;-;-;-;-;-;7241;-;-;-;5635;-;146950;-;-;-;-;-;-;-;244200;2400;-;-;-;-;-;-;-
Peixe (TO);-;-;-;...;-;-;-;-;419;-;-;146;-;-;-;...;-;-;-;-;...;1065;...;-;-;-;-;-;-;-;-;-;-;-;599;-;-;-;-;-;-;-;-;-;-;-;-;-;5200;-;-;-;-;-;17140;-;-;-;-;-;-;-;163982;590;-;-;-;-;-;-;-
Pequizeiro (TO);-;127;-;...;-;-;-;-;-;-;-;235;-;-;-;...;-;-;-;-;...;15;...;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;10;20;-;-;-;-;-;890;-;-;-;67;-;1471;-;-;-;-;-;-;-;3186;-;7;-;-;-;-;-;-
Colméia (TO);-;-;-;...;-;-;-;-;-;-;-;110;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;540;-;-;-;100;-;189;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pindorama do Tocantins (TO);-;-;-;...;-;-;-;-;112;-;-;180;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;399;-;-;-;215;-;2057;-;-;-;-;-;-;-;9300;150;-;-;-;-;-;-;-
Piraquê (TO);-;57;-;...;-;-;-;-;32;-;-;49;-;-;-;...;-;-;-;-;...;495;...;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;2100;-;-;-;81;-;2235;-;-;-;-;-;-;-;13534;-;-;-;-;-;-;-;-
Pium (TO);-;3050;-;...;-;-;-;-;90000;-;-;-;-;-;-;...;-;-;-;-;...;1650;...;-;-;-;-;-;-;-;-;-;-;-;4085;-;-;-;-;-;-;-;-;-;-;-;-;-;2670;-;-;-;7000;-;11067;-;-;-;-;-;-;-;70000;1472;-;-;-;-;-;-;-
Ponte Alta do Bom Jesus (TO);-;-;-;...;-;-;-;-;137;-;-;51;-;-;-;...;-;-;-;-;...;1667;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;747;-;-;-;-;-;480;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ponte Alta do Tocantins (TO);-;-;-;...;-;-;-;-;44;-;-;148;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;1123;-;-;-;-;-;303;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Porto Alegre do Tocantins (TO);-;-;-;...;-;-;-;-;105;-;-;49;-;-;-;...;-;-;-;-;...;255;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;512;-;-;-;-;-;1270;-;-;-;-;-;-;-;3501;-;-;-;-;-;-;-;-
Porto Nacional (TO);-;4350;-;...;-;-;-;-;456;-;-;670;-;-;-;...;-;-;-;-;...;3125;...;-;-;-;-;-;-;560;-;-;-;-;292;-;-;-;-;-;-;-;-;-;-;-;203;-;4440;26;-;-;4340;-;50850;-;-;-;-;-;-;-;139840;3108;-;-;-;-;-;-;-
Praia Norte (TO);-;-;-;...;-;-;-;-;30;-;-;7;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;270;-;10;-;72;-;160;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Presidente Kennedy (TO);-;-;4;...;-;-;-;-;4;-;-;156;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;5;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;400;-;-;-;-;-;144;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pugmil (TO);-;150;-;...;-;-;-;-;120;-;-;196;-;-;-;...;-;-;-;-;...;1300;...;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;1237;-;-;-;136;-;489;-;-;-;-;-;-;-;11589;-;-;-;-;-;-;-;-
Recursolândia (TO);-;-;-;...;-;-;-;-;-;-;-;725;4;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;1;9;-;-;-;-;-;-;-;-;-;-;-;-;-;700;-;-;-;25;-;269;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Riachinho (TO);-;96;-;...;-;-;-;-;36;-;-;247;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;2700;-;-;-;500;-;142;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Rio da Conceição (TO);-;-;-;...;-;-;-;-;50;-;-;25;-;-;-;...;-;-;-;-;...;255;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;318;-;-;-;-;-;96;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Rio dos Bois (TO);-;2333;-;...;-;-;-;-;26;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;480;-;-;-;-;-;24121;-;-;-;-;-;-;-;20715;5280;-;-;-;-;-;-;-
Rio Sono (TO);-;1870;-;...;-;-;-;-;362;-;-;198;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;208;-;-;-;-;-;-;-;-;-;-;-;-;-;742;-;20;-;880;-;5957;-;-;-;-;-;-;-;10989;980;-;-;-;-;-;-;-
Sampaio (TO);-;20;-;...;-;-;-;-;249;-;-;24;-;-;-;...;-;-;-;-;...;-;...;-;1;-;-;-;-;-;-;-;-;3;160;-;-;-;-;-;-;5;-;-;-;-;-;-;180;-;-;-;95;45;302;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Sandolândia (TO);-;-;-;...;-;-;-;-;65;-;-;42;-;-;-;...;-;-;-;-;...;855;...;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;2100;-;-;-;-;-;619;-;-;-;-;-;-;-;2155;480;-;-;-;-;-;-;-
Santa Fé do Araguaia (TO);-;-;-;...;-;-;-;-;-;-;-;-;-;-;100;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;125;-;-;-;-;-;24540;-;-;-;-;-;-;-;24570;-;-;-;-;-;-;-;-
Santa Maria do Tocantins (TO);-;1035;-;...;-;-;-;-;128;-;-;900;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1336;-;-;-;220;-;21580;-;-;-;-;-;-;-;38466;975;-;-;-;-;-;-;-
Santa Rita do Tocantins (TO);-;100;-;...;-;-;-;-;21775;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;3640;-;-;-;-;-;-;-;-;-;-;-;-;-;847;-;-;-;-;-;11500;-;-;-;-;-;-;-;48180;176;-;-;-;-;-;-;-
Santa Rosa do Tocantins (TO);-;57;-;...;-;-;-;-;130;-;-;22;-;-;-;...;-;-;-;-;...;103;...;-;-;-;-;-;-;-;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;511;-;-;-;21;-;31524;-;-;-;-;-;-;-;115290;7215;-;-;-;-;-;-;-
Santa Tereza do Tocantins (TO);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;274;-;-;-;-;-;134;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santa Terezinha do Tocantins (TO);-;-;-;...;-;-;-;-;53;-;-;64;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;960;-;-;-;108;-;285;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Bento do Tocantins (TO);-;72;-;...;-;-;-;-;999;-;-;320;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;7040;-;-;-;380;-;2100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Félix do Tocantins (TO);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;14;33;-;-;-;-;126;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Miguel do Tocantins (TO);-;18;-;...;-;-;-;2;30;-;-;24;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;1080;-;-;-;72;-;150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Salvador do Tocantins (TO);-;-;-;...;-;-;-;-;30;-;-;65;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;1025;-;-;-;-;-;256;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Sebastião do Tocantins (TO);-;-;-;...;-;-;-;4;90;-;-;32;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;380;-;10;-;228;-;90;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Valério (TO);-;-;-;...;-;-;-;-;75;-;-;60;-;-;-;...;-;-;-;-;...;1010;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2100;-;-;-;-;-;3135;-;-;-;-;-;-;-;50000;985;-;-;-;-;-;-;-
Silvanópolis (TO);-;-;-;...;-;-;-;-;177;-;-;22;-;-;-;...;-;-;-;-;...;210;...;-;-;-;-;-;-;-;-;-;-;-;2335;-;-;-;-;-;-;-;-;-;-;-;-;-;429;-;-;-;62;-;17405;-;-;-;-;-;-;-;72520;-;-;-;-;-;-;-;-
Sítio Novo do Tocantins (TO);-;100;-;...;-;-;-;5;55;-;-;20;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;40;-;600;-;90;-;240;-;150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Sucupira (TO);-;-;-;...;-;-;-;-;36;-;-;46;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;630;-;-;-;-;-;-;-;-;-;-;-;-;-;1300;-;-;-;-;-;3850;-;-;-;-;-;-;-;46120;350;-;-;-;-;-;-;-
Taguatinga (TO);-;-;-;...;-;-;-;-;220;-;-;88;-;-;-;...;-;-;-;-;...;1280;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2150;-;-;-;-;-;1085;-;-;-;-;-;-;-;660;-;-;-;-;-;-;-;-
Taipas do Tocantins (TO);-;-;-;...;-;-;-;-;30;-;-;39;-;-;-;...;-;-;-;-;...;863;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;415;-;-;-;-;-;210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Talismã (TO);-;-;-;...;-;-;-;-;60;-;-;61;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;935;-;-;-;-;-;-;-;-;-;-;-;-;-;1895;-;-;-;-;-;6900;-;-;-;-;-;-;-;40250;753;-;-;-;-;-;-;-
Palmas (TO);-;-;21;...;-;-;-;-;217;-;-;136;-;-;-;...;-;-;-;-;...;829;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1277;-;-;-;7260;-;30625;-;-;-;-;-;-;-;46653;798;-;-;-;-;-;-;-
Tocantínia (TO);-;1155;-;...;-;3069;-;-;20;-;-;66;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;1820;-;-;-;-;-;297;-;-;-;-;-;-;-;11801;-;-;-;-;-;-;-;-
Tocantinópolis (TO);-;24;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;385;...;-;-;-;-;-;-;-;-;-;-;-;75;-;-;-;-;-;-;520;-;-;-;-;-;-;1820;-;-;-;-;-;344;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Tupirama (TO);-;-;-;...;-;-;-;-;4;-;-;90;-;-;-;...;-;-;-;-;...;46476;...;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;213;-;-;-;-;-;19136;-;-;-;-;-;-;-;24538;8964;-;-;-;-;-;-;-
Tupiratins (TO);-;14;-;...;-;-;-;-;1;-;-;11;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1000;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Wanderlândia (TO);-;315;-;...;-;-;-;-;148;-;-;37;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;104;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;4478;-;-;-;1595;-;3460;-;-;-;-;-;-;-;1613;-;-;-;-;-;-;-;-
Xambioá (TO);-;-;14;...;-;-;-;-;-;-;-;565;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;840;-;40;-;-;-;2052;-;-;-;-;-;-;-;1260;-;-;-;-;-;-;-;-
Açailândia (MA);-;57;-;...;-;-;-;10;185;-;-;-;-;-;246;...;-;-;-;-;...;-;...;-;2;-;-;-;-;-;-;-;-;-;106;-;-;-;-;-;-;-;-;-;-;-;-;-;401;-;-;-;253;-;46000;-;-;-;-;6;-;-;218000;-;-;318;-;-;-;-;-
Afonso Cunha (MA);-;-;-;...;-;-;-;-;180;-;-;6;-;-;-;...;-;-;-;-;...;170;...;-;1;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;4;-;-;-;-;-;-;225;-;-;-;2;-;85;-;-;-;-;-;-;-;28800;-;-;-;-;-;-;-;-
Água Doce do Maranhão (MA);-;-;-;...;-;-;-;-;-;-;-;58;-;-;-;...;-;-;-;-;...;-;...;-;64;-;-;-;-;105;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;2668;-;-;-;-;-;448;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Alcântara (MA);-;-;-;...;-;-;-;-;146;-;-;455;-;-;-;...;-;-;-;-;...;-;...;-;1;-;-;-;-;94;-;-;-;-;63;-;-;-;-;-;-;21;-;-;-;-;-;-;5465;76;-;-;-;-;110;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Aldeias Altas (MA);-;-;-;...;-;-;-;-;898;-;-;16;-;-;-;...;-;-;-;-;...;302400;...;-;-;-;-;-;-;3;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;858;-;-;-;5;-;424;-;-;-;-;-;-;-;578;-;-;-;-;-;-;-;-
Altamira do Maranhão (MA);-;-;-;...;-;-;-;-;145;-;-;63;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;130;-;-;-;-;-;-;-;-;-;-;-;-;-;2730;-;-;-;-;-;388;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Alto Alegre do Maranhão (MA);-;-;-;...;-;-;-;-;432;-;-;35;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;59;-;-;-;-;-;-;-;-;-;-;-;-;-;441;-;-;-;-;-;311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Alto Alegre do Pindaré (MA);-;-;-;...;-;-;-;-;109;-;-;42;-;-;-;...;-;-;-;-;...;-;...;-;9;-;-;-;-;-;-;-;-;-;51;-;-;-;-;-;-;-;-;-;-;-;-;-;1014;-;-;-;105;-;50;-;-;-;-;-;-;-;1034;-;-;-;-;-;-;-;-
Alto Parnaíba (MA);-;-;-;...;-;-;-;-;3530;-;-;38;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;15;-;-;-;-;918;-;-;-;-;-;-;-;-;-;-;-;-;-;1964;-;-;-;-;-;86130;-;-;-;-;-;-;-;178106;1465;-;-;-;-;-;-;-
Amapá do Maranhão (MA);-;-;98;...;-;-;-;-;118;-;-;27;-;-;-;...;-;-;-;-;...;-;...;-;6;-;-;-;-;18;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;1340;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Amarante do Maranhão (MA);-;-;-;...;-;-;-;-;1030;-;-;67;-;-;-;...;-;-;-;-;...;160;...;-;5;-;-;-;-;15;-;-;-;-;80;-;-;-;-;-;-;-;-;-;-;-;-;-;589;-;-;-;-;-;2720;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Anajatuba (MA);-;-;-;...;-;-;-;-;76;-;-;44;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;3382;-;-;-;-;-;107;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Anapurus (MA);-;-;-;...;-;-;-;-;290;-;-;-;-;-;-;...;-;-;-;-;...;1920;...;-;17;-;-;-;-;-;-;-;-;-;122;-;-;-;-;-;-;-;-;-;-;-;-;-;980;-;-;-;-;-;2000;-;-;-;-;-;-;-;23200;-;-;-;-;-;-;-;-
Apicum-Açu (MA);-;-;-;...;-;-;-;-;4;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;2783;-;-;-;94;-;82;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Araguanã (MA);-;-;-;...;-;-;-;-;90;-;-;49;-;-;-;...;-;-;-;-;...;-;...;-;16;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;760;-;-;-;-;-;68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Araioses (MA);-;-;-;...;-;-;-;-;28;-;-;67;-;-;-;...;-;-;-;-;...;-;...;-;116;-;-;-;-;36;-;-;-;-;111;-;-;-;-;-;-;7;-;-;-;-;-;-;7393;-;-;-;70;-;143;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Arame (MA);-;-;-;...;-;-;-;-;1214;-;-;155;-;-;-;...;-;-;-;-;...;-;...;-;32;-;-;-;-;66;-;-;-;-;99;-;-;-;-;-;-;-;-;-;-;-;-;-;6600;-;-;-;-;-;3177;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Arari (MA);-;-;125;...;-;-;-;-;11050;-;-;120;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;6;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;1960;-;-;-;1080;104;385;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Axixá (MA);-;-;-;...;-;-;-;-;8;-;-;63;-;-;-;...;-;-;-;-;...;-;...;-;1;-;-;-;-;268;-;-;-;-;8;-;-;-;-;-;-;12;-;-;-;-;-;-;2972;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bacabal (MA);-;-;-;...;-;-;-;-;955;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;372;-;-;-;-;-;-;-;-;-;-;-;-;-;3126;-;-;-;-;-;1531;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bacabeira (MA);-;-;-;...;-;-;-;-;5;-;-;47;-;-;-;...;-;-;-;-;...;241;...;-;-;-;-;-;-;13;-;-;-;-;11;-;-;-;-;-;-;12;-;-;-;-;-;-;1067;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bacuri (MA);-;-;-;...;-;-;-;-;8;-;-;84;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;3015;-;-;-;111;-;303;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bacurituba (MA);-;-;-;...;-;-;-;-;4;-;-;181;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;13;-;-;-;-;7;-;-;-;-;-;-;-;12;-;-;-;-;-;1770;34;-;-;83;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Balsas (MA);-;-;-;...;-;35086;-;-;4787;-;-;1748;-;-;-;...;-;-;-;-;...;296;...;-;-;-;-;-;-;64;-;-;-;-;4698;-;-;-;-;-;-;-;-;-;-;-;-;-;3335;-;-;-;-;-;677435;-;-;-;-;-;-;-;623157;5922;-;-;-;-;-;-;-
