Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Pedreiras (MA);-;-;-;...;-;-;-;-;218;-;-;1319;-;-;-;...;-;-;-;-;...;49;...;-;-;-;-;-;-;20;-;-;-;-;95;-;-;-;-;-;-;4;-;-;-;-;-;-;172;-;-;-;-;-;144;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pedro do Rosário (MA);-;199;-;...;-;-;-;-;177;-;-;31;-;-;-;...;-;-;-;-;...;-;...;-;9;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;2038;-;-;-;92;-;177;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Penalva (MA);-;-;265;...;-;-;-;-;1035;-;-;106;-;-;-;...;-;-;-;-;...;36;...;-;-;-;-;-;-;14;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;3126;-;-;-;208;-;538;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Peri Mirim (MA);-;-;-;...;-;-;-;-;20;-;-;155;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;41;-;-;-;-;20;-;-;-;-;-;-;-;25;-;-;-;-;-;1213;-;-;-;56;-;131;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Peritoró (MA);-;-;-;...;-;-;-;-;929;-;-;9;-;-;-;...;-;-;-;-;...;23;...;-;2;-;-;-;-;4;-;-;-;-;117;-;-;-;-;-;-;4;-;-;-;-;-;-;213;-;-;-;3;-;202;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pindaré-Mirim (MA);-;-;-;...;-;-;-;65;238;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;8;-;-;-;-;-;-;-;-;-;62;-;-;-;-;-;-;-;-;-;-;-;-;-;157;-;-;-;43;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pinheiro (MA);-;-;-;...;-;-;-;-;54;-;-;134;-;-;-;...;-;-;-;-;...;538;...;-;6;-;-;-;-;33;-;-;-;-;102;-;-;-;-;-;-;5;50;-;-;-;-;-;3098;63;-;-;149;-;365;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pio XII (MA);-;-;-;...;-;-;-;-;457;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;244;-;-;-;-;-;-;-;-;-;-;-;-;-;810;-;-;-;-;-;675;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pirapemas (MA);-;-;-;...;-;-;-;-;426;-;-;6;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;75;-;-;-;-;-;-;-;-;-;-;-;-;-;609;-;-;-;-;-;75;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Poção de Pedras (MA);-;-;-;...;-;-;-;-;600;-;-;70;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;6;-;-;-;-;146;-;-;-;-;-;-;-;-;-;-;-;-;-;283;-;-;-;-;-;583;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Porto Franco (MA);-;-;-;...;-;-;-;15;56;-;-;3252;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;7;107;-;-;-;-;-;-;-;-;-;-;-;37;-;75;-;36;-;119;-;3554;-;-;-;-;-;-;-;5547;-;-;-;-;-;-;-;-
Porto Rico do Maranhão (MA);-;-;-;...;-;-;-;-;4;-;-;70;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;44;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;1196;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Presidente Dutra (MA);-;-;-;...;-;-;-;-;270;-;-;-;-;-;-;...;-;-;-;-;...;113;...;-;-;-;-;-;-;-;-;-;-;6;338;-;-;-;-;-;-;-;-;-;-;-;-;-;58;-;-;-;8;-;1462;-;-;-;-;-;-;-;-;-;-;555;-;-;-;-;-
Presidente Juscelino (MA);-;-;-;...;-;-;-;-;7;-;-;39;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;71;-;-;-;-;7;-;-;-;-;-;-;5;-;-;-;-;-;-;1253;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Presidente Médici (MA);-;-;30;...;-;-;-;-;38;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;6;-;-;-;-;-;-;-;-;-;46;-;-;-;-;-;-;-;-;-;-;-;-;-;1044;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Presidente Sarney (MA);-;-;-;...;-;-;-;-;36;-;-;274;-;-;-;...;-;-;-;-;...;-;...;-;6;-;-;-;-;47;-;-;-;-;47;-;-;-;-;-;-;8;22;-;-;-;-;-;2192;28;-;-;69;-;304;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Presidente Vargas (MA);-;-;-;...;-;-;-;-;210;-;-;3;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;4;-;-;-;-;-;-;1365;-;-;-;-;-;62;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Primeira Cruz (MA);-;-;-;...;-;-;-;-;6;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;97;-;-;-;-;26;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;308;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Raposa (MA);-;-;-;...;-;-;-;-;-;-;-;22;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Riachão (MA);-;-;-;...;-;-;-;-;5614;-;-;530;-;-;-;...;-;-;-;-;...;15;...;-;-;-;-;-;-;-;-;-;-;-;4914;-;-;-;-;-;-;-;-;-;-;-;-;-;1898;-;-;-;-;-;142138;-;-;-;-;-;-;-;478203;1319;-;-;-;-;-;-;-
Ribamar Fiquene (MA);-;-;-;...;-;-;-;-;54;-;-;4153;-;-;-;...;-;-;-;-;...;9872;...;-;2;-;-;-;-;6;-;-;-;-;86;-;-;-;-;-;-;-;-;-;-;-;58;-;63;-;-;-;524;-;303;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Rosário (MA);-;-;-;...;-;-;-;-;10;-;-;72;-;-;-;...;-;-;-;-;...;37;...;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;8;-;-;-;-;-;-;303;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Sambaíba (MA);-;-;-;...;-;-;-;-;1787;-;-;156;-;-;-;...;-;-;-;-;...;39;...;-;-;-;-;-;-;-;-;-;-;-;2485;-;-;-;-;-;-;-;-;-;-;-;-;-;454;-;-;-;-;-;166470;-;-;-;-;-;-;-;389796;1704;-;-;-;-;-;-;-
Santa Filomena do Maranhão (MA);-;39;-;...;-;-;-;-;148;-;-;18;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;58;86;-;-;-;-;-;-;-;-;-;-;-;-;-;220;-;-;-;-;-;362;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santa Helena (MA);-;-;-;...;-;-;-;-;68;-;-;165;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;26;-;-;-;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;918;-;-;-;111;-;178;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santa Inês (MA);-;430;-;...;-;-;-;54;75;-;-;238;-;-;-;...;-;-;-;-;...;-;...;-;5;-;-;-;-;13;-;-;-;-;82;-;-;-;-;-;-;-;-;-;-;-;-;-;450;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santa Luzia (MA);-;-;-;...;-;-;-;-;1209;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;37;-;-;-;-;16;-;-;-;-;700;-;-;-;-;-;-;-;-;-;-;-;-;-;653;-;-;-;47;-;40673;-;-;-;-;-;-;-;44422;-;-;624;-;-;-;-;-
Santa Luzia do Paruá (MA);-;-;525;...;-;-;-;-;28;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;28;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;1658;-;-;-;177;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santa Quitéria do Maranhão (MA);-;-;-;...;-;-;-;-;110;-;-;10;-;-;-;...;-;-;-;-;...;227;...;-;41;-;-;-;-;16;-;-;-;-;266;-;-;-;-;-;-;-;-;-;-;-;-;-;1541;-;-;-;-;-;1000;-;-;-;-;-;-;-;24145;-;-;-;-;-;-;-;-
Santa Rita (MA);-;-;-;...;-;-;-;-;7;-;-;30;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;21;-;-;-;-;14;-;-;-;-;-;-;5;-;-;-;-;-;-;370;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santana do Maranhão (MA);-;-;-;...;-;-;-;-;-;-;-;12;-;-;-;...;-;-;-;-;...;-;...;-;48;-;-;-;-;32;-;-;-;-;244;-;-;-;-;-;-;2;-;-;-;-;-;-;1283;-;-;-;-;-;193;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santo Amaro do Maranhão (MA);-;-;-;...;-;-;-;-;3;-;-;34;-;-;-;...;-;-;-;-;...;-;...;-;2244;-;-;-;-;33;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;384;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santo Antônio dos Lopes (MA);-;-;-;...;-;-;-;-;584;-;-;1493;-;-;-;...;-;-;-;-;...;76;...;-;-;-;-;-;-;-;-;-;-;-;150;-;-;-;-;-;-;-;-;-;-;-;-;-;234;-;-;-;-;-;676;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Benedito do Rio Preto (MA);-;-;-;...;-;-;-;-;134;-;-;9;-;-;-;...;-;-;-;-;...;97;...;-;4;-;-;-;-;15;-;-;-;-;80;-;-;-;-;-;-;-;-;-;-;-;-;-;1763;-;-;-;-;-;189;-;-;-;-;-;-;-;6466;-;-;-;-;-;-;-;-
São Bento (MA);-;-;-;...;-;-;-;-;83;-;-;255;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;31;-;-;-;-;12;-;-;-;-;-;-;-;17;-;-;-;-;-;1154;45;-;-;115;-;182;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Bernardo (MA);-;-;-;...;-;-;-;-;25;-;-;22;-;-;-;...;-;-;-;-;...;364;...;-;61;-;-;-;-;10;-;-;-;-;251;-;-;-;-;-;-;-;-;-;-;-;-;-;1757;-;-;-;-;-;1462;-;-;-;-;-;-;-;10725;-;-;-;-;-;-;-;-
São Domingos do Azeitão (MA);-;-;-;...;-;-;-;-;2472;-;-;101;-;-;-;...;-;-;-;-;...;138;...;-;-;-;-;-;-;-;-;-;-;16;1167;-;-;-;-;-;-;-;-;-;-;-;-;-;48;-;-;-;-;-;23197;-;-;-;-;-;-;-;249798;-;-;-;-;-;-;-;-
São Domingos do Maranhão (MA);-;10688;-;...;-;-;-;-;356;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;27;-;-;-;-;13;-;-;-;202;744;-;-;-;-;-;-;-;-;-;-;-;-;-;2205;-;-;-;518;-;3588;-;-;-;-;-;-;-;6001;-;-;85;-;-;-;-;-
São Félix de Balsas (MA);-;-;-;...;-;-;-;-;3985;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;325;-;-;-;-;-;-;-;-;-;-;-;-;-;201;-;-;-;-;-;11441;-;-;-;-;-;-;-;35048;-;-;-;-;-;-;-;-
São Francisco do Brejão (MA);-;-;-;...;-;-;-;46;19;-;-;-;-;-;144;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;93;-;-;-;-;-;-;-;4;-;-;-;-;-;50;-;-;-;56;-;1091;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Francisco do Maranhão (MA);-;-;-;...;-;-;-;-;900;-;-;31;-;-;-;...;-;-;-;-;...;-;...;-;12;-;-;-;-;-;-;-;-;39;403;-;-;-;-;-;-;-;-;-;-;-;-;-;51;-;-;-;46;-;3440;-;-;-;-;-;-;-;10003;-;-;-;-;-;-;-;-
São João Batista (MA);-;-;-;...;-;-;-;-;46;-;-;105;-;-;-;...;-;-;-;-;...;-;...;-;2;-;-;-;-;12;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;1446;-;-;-;-;-;146;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São João do Carú (MA);-;-;-;...;-;-;-;-;143;-;-;54;-;-;-;...;-;-;-;-;...;-;...;-;6;-;-;-;-;-;-;-;-;-;118;-;-;-;-;-;-;-;-;-;-;-;-;-;670;-;-;-;-;-;73;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São João do Paraíso (MA);-;-;-;...;-;-;-;-;65;-;-;6436;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;-;-;-;-;110;-;-;-;39;-;666;-;-;-;-;-;-;-;34;-;-;342;-;-;-;-;-
São João do Soter (MA);-;-;-;...;-;-;-;-;978;-;-;9;-;-;-;...;-;-;-;-;...;26;...;-;2;-;-;-;-;5;-;-;-;-;111;-;-;-;-;-;-;-;-;-;-;-;-;-;131;-;-;-;3;-;8776;-;-;-;-;-;-;-;36783;-;-;-;-;-;-;-;-
São João dos Patos (MA);-;-;-;...;-;-;-;-;2355;-;-;446;-;-;-;...;-;-;-;-;...;265;...;-;10;-;-;-;-;-;-;-;-;60;494;-;-;-;-;-;-;-;-;-;-;-;-;-;72;-;-;-;16;-;7810;-;-;-;-;-;-;-;37641;-;-;-;-;-;-;-;-
São José de Ribamar (MA);-;-;-;...;-;-;-;-;-;-;-;29;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;113;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São José dos Basílios (MA);-;-;-;...;-;-;-;-;940;-;-;68;-;-;-;...;-;-;-;-;...;12;...;-;-;-;-;-;-;-;-;-;-;31;88;-;-;-;-;-;-;-;-;-;-;-;-;-;172;-;-;-;79;-;962;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Luís (MA);-;-;-;...;-;-;-;-;6;-;-;76;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;72;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Luís Gonzaga do Maranhão (MA);-;-;-;...;-;-;-;-;2155;-;-;1290;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;306;-;-;-;-;-;-;-;-;-;-;-;-;-;1007;-;-;-;-;-;1161;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Mateus do Maranhão (MA);-;-;-;...;-;-;-;-;38325;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;161;-;-;-;-;-;-;-;-;-;-;-;-;-;272;-;-;-;-;-;204;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Pedro da Água Branca (MA);-;-;-;...;-;-;-;21;396;-;-;435;-;-;120;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;7;329;-;-;-;-;-;-;-;-;-;-;-;-;-;144;-;-;-;20;-;729;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Pedro dos Crentes (MA);-;-;-;...;-;-;-;-;933;-;-;39;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;81;-;-;-;-;-;-;-;-;-;-;-;-;-;311;-;-;-;-;-;2850;-;-;-;-;-;-;-;12443;-;-;-;-;-;-;-;-
São Raimundo das Mangabeiras (MA);-;-;-;...;-;-;-;-;1640;-;-;6595;-;-;-;...;-;-;-;-;...;100398;...;-;116;-;-;-;-;137;-;-;-;-;966;-;-;-;-;-;-;-;-;-;-;-;-;-;691;-;-;-;-;-;205197;-;-;-;-;-;-;-;150242;-;-;-;-;-;-;-;-
São Raimundo do Doca Bezerra (MA);-;-;-;...;-;-;-;-;366;-;-;18;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;4;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;107;-;-;-;-;-;580;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Roberto (MA);-;-;-;...;-;-;-;-;236;-;-;9;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;3;-;-;-;-;113;-;-;-;-;-;-;-;-;-;-;-;-;-;73;-;-;-;-;-;111;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Vicente Ferrer (MA);-;-;-;...;-;-;-;-;363;-;-;129;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;13;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;2710;-;-;-;49;-;355;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Satubinha (MA);-;-;-;...;-;-;-;-;146;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;225;-;-;-;-;-;-;-;-;-;-;-;-;-;619;-;-;-;-;-;325;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Senador Alexandre Costa (MA);-;164;-;...;-;-;-;-;1647;-;-;29;-;-;-;...;-;-;-;-;...;-;...;-;5;-;-;-;-;-;-;-;-;16;292;-;-;-;-;-;-;-;-;-;-;-;-;-;116;-;-;-;14;-;6833;-;-;-;-;-;-;-;3136;-;-;-;-;-;-;-;-
Senador La Rocque (MA);-;-;-;...;-;-;-;-;18;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;7;89;-;-;-;-;-;-;-;-;-;-;-;-;-;62;-;-;-;-;-;1937;-;-;-;-;-;-;-;-;-;-;157;-;-;-;-;-
Serrano do Maranhão (MA);-;-;-;...;-;-;-;-;6;-;-;225;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;1569;-;-;-;68;-;215;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Sítio Novo (MA);-;-;-;...;-;-;-;-;1267;-;-;118;-;-;-;...;-;-;-;-;...;54;...;-;9;-;-;-;-;20;-;-;-;-;385;-;-;-;-;-;-;-;-;-;-;-;-;-;153;-;-;-;45;-;4690;-;-;-;-;-;-;-;1003;-;-;2112;-;-;-;-;-
Sucupira do Norte (MA);-;-;-;...;-;-;-;-;973;-;-;111;-;-;-;...;-;-;-;-;...;543;...;-;-;-;-;-;-;-;-;-;-;113;340;-;-;-;-;-;-;9;-;-;-;-;-;-;77;-;-;-;-;-;6496;-;-;-;-;-;-;-;59714;-;-;-;-;-;-;-;-
Sucupira do Riachão (MA);-;-;-;...;-;-;-;-;452;-;-;83;-;-;-;...;-;-;-;-;...;1155;...;-;-;-;-;-;-;-;-;-;-;30;208;-;-;-;-;-;-;4;-;-;-;-;-;-;57;-;-;-;-;-;713;-;-;-;-;-;-;-;3168;-;-;-;-;-;-;-;-
Tasso Fragoso (MA);-;-;-;...;-;207793;-;-;593;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;2091;-;-;-;-;-;-;-;-;-;-;-;-;-;802;-;-;-;-;-;338412;-;-;-;-;-;-;-;1322922;3020;-;-;-;-;-;-;-
Timbiras (MA);-;-;-;...;-;-;-;-;1699;-;-;24;-;-;-;...;-;-;-;-;...;24;...;-;2;-;-;-;-;6;-;-;-;-;124;-;-;-;-;-;-;-;-;-;-;-;-;-;396;-;-;-;3;-;526;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Timon (MA);-;-;-;...;-;-;-;-;1825;-;-;1086;-;-;-;...;-;-;-;-;...;568;...;-;229;-;-;-;-;-;-;-;-;-;1190;-;-;-;-;-;-;1;-;-;-;-;-;-;904;-;-;-;132;-;720;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Trizidela do Vale (MA);-;-;-;...;-;-;-;-;167;-;-;300;-;-;-;...;-;-;-;-;...;43;...;-;-;-;-;-;-;13;-;-;-;-;69;-;-;-;-;-;-;-;-;-;-;-;-;-;110;-;-;-;-;-;424;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Tufilândia (MA);-;-;-;...;-;-;-;-;153;-;-;30;-;-;-;...;-;-;-;-;...;-;...;-;4;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;177;-;-;-;34;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Tuntum (MA);-;514;-;...;-;-;-;-;2210;-;-;123;-;-;-;...;-;-;-;-;...;5739;...;-;26;-;-;-;-;11;-;-;-;-;841;-;-;-;-;-;-;-;-;-;-;-;-;-;3172;-;-;-;-;-;4307;-;-;-;-;-;-;-;-;-;-;85;-;-;-;-;-
Turiaçu (MA);-;8441;-;...;-;-;-;-;82;-;-;224;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;8;-;-;-;-;72;-;-;-;-;-;-;-;-;-;-;-;-;-;3023;-;-;-;-;-;590;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Turilândia (MA);-;-;-;...;-;-;-;-;54;-;-;138;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;8;-;-;-;-;130;-;-;-;-;-;-;-;-;-;-;-;-;-;1751;-;-;-;-;-;300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Tutóia (MA);-;-;-;...;-;-;-;-;38;-;-;45;-;-;-;...;-;-;-;-;...;-;...;-;77;-;-;-;-;405;-;-;-;-;470;-;-;-;-;-;-;-;-;-;-;-;-;-;3896;-;-;-;-;-;441;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Urbano Santos (MA);-;-;-;...;-;-;-;-;202;-;-;62;-;-;-;...;-;-;-;-;...;99;...;-;34;-;-;-;-;25;-;-;-;-;174;-;-;-;-;-;-;-;-;-;-;-;-;-;3568;-;-;-;-;-;191;-;-;-;-;-;-;-;4395;-;-;-;-;-;-;-;-
Vargem Grande (MA);-;-;-;...;-;-;-;-;509;-;-;7;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;4;-;-;-;-;-;-;1709;-;-;-;-;-;219;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Viana (MA);-;-;225;...;-;-;-;-;5400;-;-;254;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;7;-;-;-;-;61;-;-;-;-;-;-;-;-;-;-;-;-;-;3325;-;-;-;186;-;68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Vila Nova dos Martírios (MA);-;-;34;...;-;-;-;16;270;-;-;2991;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;307;-;-;-;-;-;-;-;-;-;-;-;53;-;337;-;-;-;10;-;1813;-;-;-;-;-;-;-;30712;-;-;-;-;-;-;-;-
Vitória do Mearim (MA);-;-;-;...;-;-;-;-;6794;-;-;196;-;-;-;...;-;-;-;-;...;-;...;-;2;-;-;-;-;6;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;1106;-;-;-;499;-;67;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Vitorino Freire (MA);-;-;-;...;-;-;-;-;171;-;-;176;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;782;-;-;-;-;-;-;-;-;-;-;-;-;-;6068;-;-;-;-;-;1954;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Zé Doca (MA);-;-;-;...;-;-;-;-;285;-;-;132;-;-;-;...;-;-;-;-;...;-;...;-;35;-;-;-;-;-;-;-;-;-;230;-;-;-;-;-;-;-;-;-;-;-;-;-;719;-;-;-;46;-;180;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Acauã (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;4573;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;1011;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Agricolândia (PI);-;-;-;...;-;-;-;-;752;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;125;-;-;-;-;-;-;-;-;75;245;-;-;-;-;-;-;-;-;-;-;-;-;-;53;-;-;-;-;-;921;-;-;-;-;-;-;-;8324;-;-;-;-;-;-;-;-
Água Branca (PI);-;-;-;...;-;-;-;-;131;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;18;-;-;-;-;-;-;-;-;24;377;-;-;-;-;-;-;-;-;-;-;-;-;-;96;-;-;-;518;-;573;-;-;-;-;-;-;-;-;-;-;600;-;-;-;-;-
Alagoinha do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;1020;-;-;-;-;-;-;-;-;-;1707;-;-;-;-;-;-;-;-;-;-;-;-;-;110;-;-;-;-;-;1435;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Alegrete do Piauí (PI);-;-;-;...;-;17;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;7;-;-;-;-;-;-;-;-;38;1650;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295;-;1724;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Alto Longá (PI);-;-;-;...;-;-;-;-;845;-;-;-;-;-;-;...;-;-;-;-;...;56;...;-;217;-;-;-;-;-;-;-;-;-;2112;-;-;-;-;-;-;-;-;-;-;-;-;-;708;-;-;-;1512;-;1225;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
