Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Limoeiro (PE);-;-;-;...;-;-;-;-;-;-;-;900;7;-;-;...;-;-;-;-;...;678;...;-;-;-;-;-;-;5;-;-;-;218;430;-;-;-;-;-;-;-;30;-;-;-;-;-;100;-;-;-;-;-;900;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Macaparana (PE);-;-;-;...;-;-;-;-;-;-;-;2000;5;-;-;...;-;-;-;-;...;1500;...;-;-;-;-;-;-;-;-;-;-;55;3;-;-;-;120;-;-;-;-;-;-;-;-;-;40;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25
Machados (PE);-;-;-;...;-;-;-;-;-;-;-;3000;4;-;-;...;-;-;-;-;...;100;...;-;-;-;-;-;-;2;-;-;-;22;-;-;-;-;-;-;-;-;80;-;-;-;-;-;3;-;-;-;-;-;150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Manari (PE);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;1500;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;1500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Maraial (PE);-;-;3;...;-;-;-;-;-;-;-;20;-;-;-;...;-;-;-;-;...;800;...;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Mirandiba (PE);-;-;-;...;-;40;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;50;5;-;-;-;10;-;-;-;-;1008;-;-;-;240;-;-;-;-;-;-;-;15;-;250;5;30;-;-;-;1100;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-
Moreno (PE);-;15;-;...;-;-;-;-;-;-;-;200;-;-;-;...;-;-;-;-;...;6000;...;-;-;-;-;-;-;68;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;250;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Nazaré da Mata (PE);-;-;-;...;-;-;-;-;-;-;-;13;38;-;-;...;-;-;-;-;...;4000;...;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;2;5;-;-;-;-;-;55;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Olinda (PE);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Orobó (PE);-;-;-;...;-;-;-;-;-;-;-;1000;7;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;3;-;-;-;640;740;-;-;-;-;-;-;-;10;-;-;-;-;-;10;-;-;-;-;-;800;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Orocó (PE);-;-;-;...;-;-;-;-;-;-;-;900;-;-;-;...;-;-;-;-;...;6;...;-;-;320;-;-;-;-;-;-;-;-;250;-;-;-;200;-;-;-;-;-;-;-;-;-;290;125;130;-;-;-;250;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
Ouricuri (PE);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;7400;-;-;-;-;-;-;-;-;-;-;-;-;-;600;-;-;-;-;-;9000;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-
Palmares (PE);-;11;-;...;-;-;-;-;-;-;-;580;8;-;-;...;-;-;-;-;...;1170;...;-;-;-;-;-;-;50;-;-;-;10;11;-;-;-;-;-;-;4;-;-;-;-;3;-;23;22;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Palmeirina (PE);-;-;-;...;-;-;-;-;-;-;-;110;20;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;20;100;-;-;-;-;-;-;3;-;-;-;-;-;-;5;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Panelas (PE);4;-;-;...;-;-;-;-;-;-;-;160;20;-;-;...;-;5;5;-;...;200;...;-;10;-;-;-;-;3;-;-;-;-;750;-;-;-;-;-;-;-;-;-;-;-;-;-;240;10;8;-;-;-;1000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Paranatama (PE);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;50;50;-;...;-;...;-;-;-;-;-;-;-;-;-;-;5;2000;-;-;-;-;-;-;-;-;-;-;-;-;-;60;-;-;-;-;-;170;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Parnamirim (PE);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;38;-;-;-;-;-;-;-;-;2400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;110;4;2500;-;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-
Passira (PE);-;50;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;3;-;-;-;450;480;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;2;-;-;-;1100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Paudalho (PE);-;20;-;...;-;-;-;-;-;-;-;10;6;-;-;...;-;-;-;-;...;6100;...;-;-;-;-;-;-;10;-;-;-;5;-;-;-;-;-;-;-;3;4;-;-;-;-;-;62;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-
Paulista (PE);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Pedra (PE);-;-;-;...;-;-;-;-;-;-;-;45;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;1000;-;-;-;-;-;-;-;-;-;-;-;-;-;50;12;-;-;2;-;2100;-;-;-;-;-;-;-;-;-;-;80;-;-;-;-;-
Pesqueira (PE);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;700;-;-;-;-;-;-;-;-;-;-;-;-;-;80;-;-;-;-;-;250;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Petrolândia (PE);-;-;-;...;-;-;-;40;-;-;-;208;-;-;-;...;-;-;-;-;...;-;...;-;-;40;-;-;-;3050;-;-;-;-;300;-;-;-;20;-;-;4;5;-;-;-;140;-;40;125;40;-;40;50;300;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;8
Petrolina (PE);-;-;-;...;-;-;-;-;-;-;-;1950;-;-;-;...;-;-;-;-;...;130;...;-;-;80;-;-;-;2100;-;-;-;-;2500;-;-;-;1800;-;-;-;-;-;-;-;-;-;260;9500;175;-;-;-;3300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6250
Poção (PE);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;700;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pombos (PE);-;520;-;...;-;-;-;-;-;-;-;50;-;-;-;...;-;-;-;-;...;800;...;-;-;-;-;-;-;-;-;-;-;-;180;-;-;-;-;-;-;-;-;-;-;-;-;-;300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-
Primavera (PE);-;10;-;...;-;-;-;-;-;-;-;200;30;-;-;...;-;-;-;-;...;9500;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;94;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Quipapá (PE);-;-;-;...;-;-;-;-;-;-;-;630;-;-;-;...;-;-;-;-;...;1050;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Quixaba (PE);-;-;-;...;-;-;-;-;-;-;-;4;3;-;-;...;-;-;-;-;...;5;...;-;-;-;-;-;-;7;-;-;-;18;1000;-;-;-;4;-;-;-;-;-;-;-;-;-;22;7;-;-;-;-;2200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Recife (PE);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Riacho das Almas (PE);-;80;-;...;-;-;-;-;-;-;-;3;15;-;-;...;-;-;-;-;...;-;...;-;5;-;-;-;-;-;-;-;-;4;630;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;1800;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ribeirão (PE);-;8;-;...;-;-;-;-;-;-;-;370;10;-;-;...;-;-;-;-;...;14800;...;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;10;50;-;-;-;-;-;400;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Rio Formoso (PE);-;4;-;...;-;-;-;-;-;-;-;200;4;-;150;...;-;-;-;-;...;10000;...;-;-;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;250;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Sairé (PE);-;-;-;...;-;-;-;-;-;-;-;30;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;80;-;-;-;135;-;-;200;-;-;-;-;-;-;-;-;300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Salgadinho (PE);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;200;500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Salgueiro (PE);-;-;-;...;-;-;-;-;-;-;-;10;-;-;-;...;-;-;-;-;...;-;...;-;-;20;-;-;-;-;-;-;-;-;550;-;-;-;18;-;-;-;3;-;-;-;12;-;10;10;150;-;14;-;350;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Saloá (PE);-;-;-;...;-;-;-;-;-;-;-;5;-;-;-;...;-;30;30;-;...;-;...;-;-;-;-;-;-;-;-;-;-;10;2450;-;-;-;-;-;-;10;-;-;-;-;-;-;45;-;-;-;-;-;650;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-
Sanharó (PE);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;1200;-;-;-;-;-;-;-;-;-;-;-;-;-;600;-;-;-;-;-;200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santa Cruz (PE);-;-;-;...;-;50;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;4000;-;-;-;-;-;-;-;-;-;-;-;-;300;-;-;-;-;-;-;5000;-;-;-;-;-;-;-;-;300;-;200;-;-;-;-;-
Santa Cruz da Baixa Verde (PE);2;-;-;...;-;-;-;-;-;-;-;6;-;-;-;...;-;3;3;-;...;277;...;-;-;-;-;-;-;-;-;-;-;580;1050;-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;1100;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-
Santa Cruz do Capibaribe (PE);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santa Filomena (PE);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;10;...;-;-;-;-;-;-;-;-;-;-;-;3500;-;-;-;-;-;-;-;-;-;-;-;-;-;1500;-;-;-;-;-;5000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santa Maria da Boa Vista (PE);-;-;-;...;-;-;-;-;-;-;-;3800;-;-;-;...;-;-;-;-;...;25;...;-;-;230;-;-;-;68;-;-;-;-;950;-;-;-;1700;-;-;-;-;-;-;-;-;-;500;1300;85;-;500;77;1400;-;-;-;-;-;-;-;-;-;-;100;-;-;-;-;316
Santa Maria do Cambucá (PE);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;750;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santa Terezinha (PE);-;-;-;...;-;-;-;-;-;-;-;13;4;-;-;...;-;-;-;-;...;12;...;-;15;-;-;-;-;4;-;-;-;13;1730;-;-;-;4;-;-;-;-;-;-;-;3;-;24;5;4;-;7;-;1800;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-
São Benedito do Sul (PE);-;-;-;...;-;-;-;-;-;-;-;175;45;-;-;...;-;-;-;-;...;280;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;106;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Bento do Una (PE);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;45;5300;-;-;-;-;-;-;-;-;-;-;-;-;-;1200;-;-;-;-;-;1200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Caitano (PE);-;-;-;...;-;-;-;-;-;-;-;10;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;400;-;-;-;-;-;-;-;-;-;-;-;-;-;70;-;-;-;-;-;400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São João (PE);-;-;-;...;-;-;-;-;-;-;-;6;-;-;-;...;-;2;2;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;11700;-;-;-;-;-;-;10;-;-;-;-;-;-;3300;-;-;-;-;-;1200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Joaquim do Monte (PE);-;-;-;...;-;-;-;-;-;-;-;2;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;65;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São José da Coroa Grande (PE);-;-;-;...;-;-;-;-;-;-;-;62;-;-;-;...;-;-;-;-;...;73;...;-;-;-;-;-;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São José do Belmonte (PE);-;-;-;...;-;-;-;-;-;-;-;25;1;-;-;...;-;-;-;-;...;-;...;-;200;-;-;-;-;8;-;-;-;-;3210;-;-;-;16;-;-;1;-;-;-;-;5;-;50;20;25;-;10;-;2180;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-
São José do Egito (PE);-;-;-;...;-;-;-;-;-;-;-;9;20;-;-;...;-;-;-;-;...;6;...;-;-;-;-;-;-;11;-;-;-;50;5050;-;-;-;9;-;-;-;-;-;-;-;-;-;13;8;5;-;-;-;5500;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-
São Lourenço da Mata (PE);-;50;-;...;-;-;-;-;-;-;-;20;5;-;-;...;-;-;-;-;...;6215;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;100;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Vicente Férrer (PE);-;-;-;...;-;-;-;-;-;-;-;4200;3;-;-;...;-;-;-;-;...;500;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;120;-;-;-;-;-;-;-;-;-;9;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;600
Serra Talhada (PE);-;-;-;...;-;40;-;-;4;-;-;15;30;-;-;...;-;-;-;-;...;-;...;-;-;20;-;-;-;-;-;-;-;12;2262;-;-;-;28;-;-;-;-;-;-;-;10;-;32;10;1;-;40;-;2300;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-
Serrita (PE);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;2503;-;-;-;8;-;-;-;-;-;-;-;-;-;7;-;10;-;2;-;1500;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-
Sertânia (PE);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;800;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1800;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Sirinhaém (PE);-;-;-;...;-;-;-;-;-;-;-;170;-;-;150;...;-;-;-;-;...;31000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;140;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Moreilândia (PE);-;8;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;30;1050;-;-;-;-;-;-;-;-;-;-;-;-;-;165;-;5;-;-;-;1200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Solidão (PE);-;-;-;...;-;-;-;-;-;-;-;6;10;-;-;...;-;-;-;-;...;18;...;-;4;-;-;-;-;5;-;-;-;150;1230;-;-;-;5;-;-;-;-;-;-;-;4;-;7;10;-;-;-;-;1500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Surubim (PE);-;-;-;...;-;-;-;-;-;-;-;-;2;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;700;1400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Tabira (PE);-;-;-;...;-;-;-;-;-;-;-;13;18;-;-;...;-;-;-;-;...;5;...;-;5;-;-;-;-;11;-;-;-;40;3015;-;-;-;10;-;-;-;-;-;-;-;-;-;7;5;6;-;-;-;3600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Tacaimbó (PE);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;240;-;-;-;-;-;-;-;-;-;-;-;-;-;60;-;30;-;-;-;150;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-
Tacaratu (PE);-;-;-;...;-;-;-;2;-;-;-;40;-;-;-;...;-;-;-;-;...;5;...;-;27;-;-;-;-;200;-;-;-;-;2000;-;-;-;30;-;-;2;-;-;-;-;10;-;55;5;4;-;250;10;2300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Tamandaré (PE);-;-;-;...;-;-;-;-;-;-;-;18;-;-;-;...;-;-;-;-;...;1750;...;-;-;-;-;-;-;175;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Taquaritinga do Norte (PE);-;-;-;...;-;-;-;-;-;-;-;200;-;-;-;...;-;700;700;-;...;-;...;-;160;-;-;-;-;-;-;-;-;-;370;-;-;-;-;-;-;25;-;-;-;-;-;-;30;-;-;-;-;-;1000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Terezinha (PE);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;10;560;-;-;-;-;-;-;-;-;-;-;-;-;-;200;-;-;-;-;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Terra Nova (PE);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;300;-;-;-;-;-;-;-;-;170;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;15;-;-;-;230;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Timbaúba (PE);-;-;-;...;-;-;-;-;-;-;-;660;5;-;-;...;-;-;-;-;...;4000;...;-;-;-;-;-;-;2;-;-;-;6;-;-;-;-;2;-;-;-;-;-;-;-;2;-;52;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
Toritama (PE);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Tracunhaém (PE);-;-;-;...;-;-;-;-;-;-;-;10;10;-;-;...;-;-;-;-;...;4000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;140;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Trindade (PE);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;1000;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;2500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Triunfo (PE);-;-;-;...;-;-;-;-;-;-;-;340;-;-;-;...;-;70;70;-;...;160;...;-;-;-;-;-;-;-;-;-;-;50;550;-;-;-;33;-;-;3;-;-;-;-;-;-;12;-;7;-;-;-;500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Tupanatinga (PE);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;100;-;-;-;-;-;-;-;-;14;1400;-;-;-;-;-;-;-;-;-;-;-;-;-;156;-;12;-;10;50;900;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-
Tuparetama (PE);-;-;-;...;-;-;-;-;-;-;-;7;9;-;-;...;-;-;-;-;...;4;...;-;-;-;-;-;-;5;-;-;-;8;800;-;-;-;7;-;-;-;-;-;-;-;-;-;4;4;3;-;-;-;1200;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-
Venturosa (PE);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;5;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Verdejante (PE);-;-;-;...;-;-;-;-;-;-;-;3;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;500;-;-;-;14;-;-;-;-;-;-;-;-;-;21;5;5;-;-;-;350;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Vertente do Lério (PE);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;120;350;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Vertentes (PE);-;-;-;...;-;-;-;-;-;-;-;20;-;-;-;...;-;60;60;-;...;-;...;-;-;-;-;-;-;-;-;-;-;2;600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;900;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Vicência (PE);5;-;-;...;-;-;-;-;-;-;-;9000;25;-;-;...;-;-;-;-;...;8000;...;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;106;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Vitória de Santo Antão (PE);-;-;-;...;-;-;-;-;-;-;-;320;-;-;-;...;-;-;-;-;...;6012;...;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;10;-;-;-;50;-;-;-;-;-;300;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Xexéu (PE);-;15;-;...;-;-;-;-;-;-;-;40;4;-;-;...;-;-;-;-;...;1700;...;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;13;4;-;-;-;-;-;75;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Água Branca (AL);2;-;-;...;-;6;-;-;-;-;-;6;4;-;-;...;-;-;-;-;...;12;...;-;6;-;-;-;-;25;-;-;-;-;1800;-;-;-;2;-;-;4;-;-;-;-;3;-;140;1;2;-;10;-;500;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-
Anadia (AL);17;10;-;...;-;800;-;40;-;-;-;17;22;-;-;...;-;-;-;-;...;500;...;-;15;-;-;-;-;28;-;-;-;-;292;-;-;-;8;-;-;8;1;-;-;-;18;-;220;8;40;-;-;-;2200;-;-;-;-;1;-;-;850;304;-;-;-;-;-;-;-
Arapiraca (AL);-;330;-;...;-;-;-;90;-;-;-;5;250;2;-;...;-;-;-;-;...;40;...;-;7;-;-;-;-;10;-;-;-;30;850;-;5500;-;12;-;-;10;3;-;-;-;5;-;2300;5;5;-;-;-;285;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-
Atalaia (AL);-;5;35;...;-;-;-;18;-;-;-;150;50;-;-;...;-;-;-;-;...;13000;...;-;-;-;-;-;-;5;-;-;-;20;40;-;-;-;5;-;-;9;3;-;-;-;14;-;78;5;20;-;5;-;100;-;-;-;-;32;-;-;200;-;7;-;-;-;-;-;-
